z_volt	Amp	Phase	DC	Amp_direct	Phase_direct	X	Y
2.122340	0.679101	0.183784	-2.900575	0.694131	-0.218246	-0.667664	-0.124106
2.117340	0.679734	0.183610	-2.866079	0.694454	-7.124965	-0.668309	-0.124106
2.112340	0.679617	0.182678	-2.857697	0.694776	1.750619	-0.668309	-0.123461
2.107340	0.679528	0.179326	-2.841899	0.694131	-7.879387	-0.668631	-0.121205
2.102340	0.678233	0.176774	-2.821588	0.694454	3.313267	-0.667664	-0.119270
2.097340	0.678008	0.174901	-2.808370	0.695099	-6.311547	-0.667664	-0.117981
2.092340	2.444440	0.036931	-2.062668	2.138460	-9.882168	-2.442773	-0.090255
2.097340	2.028769	-0.039269	-2.072985	2.412818	9.835068	-2.027205	0.079647
2.102340	2.039957	0.067843	-2.064925	2.214545	-9.750949	-2.035265	-0.138292
2.107340	2.400184	0.073129	-2.043969	1.960175	-9.226071	-2.393769	-0.175367
2.112340	2.384470	0.070088	-2.046226	1.921166	-9.439181	-2.378616	-0.166985
2.117340	2.571437	0.103992	-2.030751	2.066243	-8.840474	-2.557546	-0.266927
2.122340	1.938899	0.032089	-2.020757	2.255489	3.810079	-1.937901	-0.062206
2.127340	1.123270	-0.080177	-2.000446	1.537194	-8.141501	-1.119662	0.089964
2.132340	0.836542	-0.271176	-1.981424	1.250585	9.441091	-0.805971	0.224080
2.137340	0.759852	-0.395503	-1.965627	0.535513	-1.868908	-0.701193	0.292750
2.142340	0.736904	-0.443131	-1.943059	0.763769	9.438834	-0.665730	0.315963
2.147340	0.730263	-0.461702	-1.936289	0.671564	0.603539	-0.653801	0.325312
2.152340	0.726962	-0.470420	-1.914689	0.703159	-8.950736	-0.647998	0.329503
2.157340	0.725545	-0.474408	-1.896312	0.692842	1.773509	-0.645419	0.331437
2.162340	0.726155	-0.477973	-1.903405	0.695743	-7.115616	-0.644774	0.334017
2.167340	0.725010	-0.478791	-1.918557	0.693809	2.768419	-0.643484	0.334017
2.172340	0.724747	-0.480985	-1.936612	0.694454	-5.785390	-0.642517	0.335306
2.177340	0.724760	-0.481979	-1.945639	0.694776	5.026156	-0.642195	0.335951
2.182340	0.741097	-0.471458	-1.956600	0.695421	-4.747266	-0.660249	0.336596
2.187340	0.982747	-0.339822	-1.976589	0.694131	6.504025	-0.926547	0.327569
2.192340	1.520152	-0.206558	-1.993353	0.581938	-3.518609	-1.487837	0.311771
2.197340	2.040114	-0.064211	-2.003992	1.254776	9.110951	-2.035909	0.130908
2.202340	2.051869	0.012562	-2.016888	1.259612	-9.043911	-2.051707	-0.025776
2.207340	1.820376	0.066454	-2.028494	2.075915	-9.746757	-1.816358	-0.120882
2.212340	1.862835	0.161471	-2.045904	1.891828	-9.562663	-1.838603	-0.299489
2.217340	2.198160	0.149711	-2.037521	2.189076	-9.268951	-2.173572	-0.327860
2.222340	2.422541	0.046855	-2.016243	1.344724	-9.347618	-2.419883	-0.113467
2.227340	1.780055	-0.011963	-1.998834	2.306105	-8.985556	-1.779927	0.021294
2.232340	1.082586	-0.124519	-1.983359	1.191264	8.931051	-1.074204	0.134454
2.237340	0.820894	-0.299418	-1.964338	1.207384	-7.832961	-0.784371	0.242134
2.242340	0.752324	-0.419775	-1.950475	0.674143	5.835050	-0.687008	0.306613
2.247340	0.734162	-0.468389	-1.924360	0.704771	-4.871067	-0.655091	0.331437
2.252340	0.729143	-0.485825	-1.918235	0.697678	6.112312	-0.644774	0.340465
2.257340	0.727285	-0.494211	-1.901470	0.692842	-2.877685	-0.640260	0.344978
2.262340	0.728691	-0.498705	-1.906629	0.695743	7.419960	-0.639938	0.348524
2.267340	0.728642	-0.502271	-1.928229	0.694776	-1.536196	-0.638648	0.350781
2.272340	0.745583	-0.493267	-1.940480	0.695421	9.482036	-0.656703	0.353038
2.277340	0.796913	-0.453542	-1.954021	0.695099	-0.522586	-0.716346	0.349169
2.282340	1.147553	-0.302399	-1.958857	0.701869	-7.388690	-1.095482	0.341754
2.287340	1.643522	-0.160967	-1.976911	0.491990	2.631402	-1.622276	0.263412
2.292340	1.816605	-0.049010	-1.988517	1.469168	-9.094852	-1.814424	0.088997
2.297340	1.841705	0.048149	-2.012052	1.420164	7.104976	-1.839570	-0.088643
2.302340	1.857747	0.115479	-2.022369	1.778990	-9.201568	-1.845374	-0.214054
2.307340	1.591106	0.142920	-2.031073	1.791885	-9.557827	-1.574884	-0.226628
2.312340	1.883026	0.187886	-2.050740	1.943088	-9.879589	-1.849887	-0.351717
2.317340	2.076395	0.116394	-2.035909	1.896341	-9.489154	-2.062346	-0.241136
2.322340	1.959875	0.032239	-2.031396	1.876675	-9.573947	-1.958857	-0.063174
2.327340	1.944790	0.095290	-2.005604	1.883445	-9.655194	-1.935967	-0.185039
2.332340	2.011660	0.083587	-1.993676	1.451759	-8.698615	-2.004637	-0.167952
2.337340	1.462742	-0.030872	-1.980135	2.042064	-7.945802	-1.462045	0.045151
2.342340	0.915008	-0.168528	-1.962403	0.428156	-8.183091	-0.902045	0.153476
2.347340	0.776502	-0.389707	-1.942415	1.100671	-8.997163	-0.718280	0.295007
2.352340	0.739598	-0.480832	-1.920169	0.573233	1.566854	-0.655735	0.342077
2.357340	0.729395	-0.512322	-1.913721	0.737332	-7.980944	-0.635747	0.357551
2.362340	0.724583	-0.522211	-1.924360	0.683170	2.753912	-0.628009	0.361420
2.367340	0.748174	-0.508592	-1.937256	0.697678	-6.218696	-0.653479	0.364322
2.372340	1.246529	-0.299846	-1.950475	0.692842	3.760107	-1.190911	0.368190
2.377340	1.678224	-0.165980	-1.961758	0.739267	-6.059753	-1.655160	0.277275
2.382340	1.679462	-0.148559	-1.983359	1.383089	8.722135	-1.660963	0.248582
2.387340	1.720726	0.011795	-1.999479	1.385346	-8.758905	-1.720607	-0.020295
2.392340	1.655757	0.094371	-2.011730	1.714833	-9.879912	-1.648390	-0.156023
2.397340	1.390288	0.159040	-2.029139	1.674856	-9.315700	-1.372742	-0.220180
2.402340	1.469113	0.267380	-2.043647	1.581684	-9.287005	-1.416910	-0.388148
2.407340	1.588111	0.275699	-2.054931	2.078817	-9.613926	-1.528137	-0.432316
2.412340	1.477622	0.208555	-2.037521	1.506244	-9.517526	-1.445603	-0.305937
2.417340	1.701818	0.179405	-2.024303	1.647775	-9.356645	-1.674504	-0.303680
2.422340	1.939738	0.078855	-2.007861	1.696134	-9.357290	-1.933710	-0.152799
2.427340	2.232786	0.021942	-1.989484	1.215444	-9.879912	-2.232248	-0.048988
2.432340	1.408165	-0.104602	-1.968206	2.031425	-8.785665	-1.400468	0.147028
2.437340	0.919668	-0.301484	-1.949507	0.915617	8.116988	-0.878188	0.273084
2.442340	0.786780	-0.464407	-1.938223	0.890147	-6.872202	-0.703450	0.352393
2.447340	0.748498	-0.530180	-1.915656	0.720245	6.389896	-0.645741	0.378507
2.452340	0.734629	-0.557233	-1.910820	0.685427	-3.719140	-0.623496	0.388501
2.457340	0.730888	-0.565642	-1.919525	0.701224	7.006644	-0.617048	0.391725
2.462340	0.828841	-0.494467	-1.936934	0.691875	-1.791211	-0.729564	0.393337
2.467340	1.472149	-0.134662	-1.949507	0.729595	4.627997	-1.458822	0.197644
2.472340	1.764600	-0.120150	-1.966272	0.250194	-4.568658	-1.751879	0.211507
2.477340	1.721388	-0.068235	-1.980457	1.601672	-9.528488	-1.717383	0.117367
2.482340	1.510674	0.034783	-1.993031	1.186428	-9.584264	-1.509760	-0.052535
2.487340	1.590975	0.181332	-2.016566	1.647130	-9.551056	-1.564890	-0.286916
2.492340	1.402606	0.197567	-2.027849	1.780924	-9.291197	-1.375321	-0.275309
2.497340	1.352588	0.265031	-2.043647	1.460786	9.436578	-1.305361	-0.354296
2.502340	1.652234	0.257466	-2.052352	1.984355	-8.763096	-1.597774	-0.420709
2.507340	1.642674	0.160236	-2.034297	1.634557	2.044643	-1.621631	-0.262091
2.512340	1.864695	0.116091	-2.020757	1.766416	-9.415001	-1.852144	-0.215989
2.517340	1.755691	0.025886	-2.001091	1.651644	-9.491089	-1.755103	-0.045442
2.522340	2.152526	0.037595	-1.990129	1.796076	9.563927	-2.151005	-0.080905
2.527340	1.787838	-0.081788	-1.966917	1.295720	-8.638326	-1.781862	0.146061
2.532340	1.074661	-0.213122	-1.954666	1.959531	9.800893	-1.050347	0.227304
2.537340	0.823275	-0.404094	-1.934677	0.364644	-4.994868	-0.756967	0.323700
2.542340	0.758331	-0.521125	-1.919202	0.897563	-8.073796	-0.657670	0.377540
2.547340	0.739913	-0.566157	-1.904694	0.630942	0.894661	-0.624463	0.396884
