z_volt	Amp	Phase	DC	Amp_direct	Phase_direct	X	Y
-0.807541	6.776966	-0.155182	-2.162611	6.926045	-0.480675	6.695530	-1.047445
-0.802541	6.782083	-0.147514	-2.163578	6.829970	-0.487445	6.708426	-0.996829
-0.797541	6.780966	-0.153405	-2.164223	6.852860	-0.460686	6.701333	-1.036161
-0.792541	6.841508	-0.153277	-2.163900	6.829970	-0.484221	6.761299	-1.044544
-0.787541	6.739671	-0.159971	-2.164545	6.829970	-0.446823	6.653618	-1.073559
-0.782541	6.748549	-0.146900	-2.160354	6.842221	-0.447791	6.675864	-0.987802
-0.777541	6.753959	-0.151271	-2.160032	6.790315	-0.453271	6.676831	-1.017785
-0.772541	6.749378	-0.150939	-2.160032	6.749370	-0.435540	6.672640	-1.014883
-0.767541	6.780977	-0.148356	-2.161321	6.791927	-0.441665	6.706491	-1.002310
-0.762541	6.695603	-0.144761	-2.161966	6.730027	-0.431026	6.625569	-0.965879
-0.757541	6.810314	-0.155853	-2.161966	6.850926	-0.500341	6.727770	-1.057117
